Predictor,b,Seed,Dataset,Result
HLL,14,4391116,dracula,9458.79744084976
REC,14,4391116,dracula,10713.903163643017
HLL,15,4391116,dracula,9428.09951056076
REC,15,4391116,dracula,16071.696938099067
HLL,16,4391116,dracula,9431.20134607483
REC,16,4391116,dracula,27837.932418028387
HLL,2,7937650,dracula,5134.990385020131
REC,2,7937650,dracula,1653.3612251060554
HLL,3,7937650,dracula,6870.62241788289
REC,3,7937650,dracula,19016.63327757335
HLL,4,7937650,dracula,7996.50592634561
REC,4,7937650,dracula,7755.606008901044
HLL,5,7937650,dracula,9362.465614091272
REC,5,7937650,dracula,9206.016150883474
HLL,6,7937650,dracula,8796.484484377888
REC,6,7937650,dracula,9137.237159264338
HLL,7,7937650,dracula,9739.966571430892
REC,7,7937650,dracula,11770.702777235154
HLL,8,7937650,dracula,9198.832604632309
REC,8,7937650,dracula,9649.950351034911
HLL,9,7937650,dracula,9737.662515961652
REC,9,7937650,dracula,8943.672095964032
HLL,10,7937650,dracula,9273.110659430864
REC,10,7937650,dracula,9250.54343883407
HLL,11,7937650,dracula,9143.636813636205
REC,11,7937650,dracula,9373.345413919085
HLL,12,7937650,dracula,9309.228452590927
REC,12,7937650,dracula,9452.022984077703
HLL,13,7937650,dracula,9338.746884293809
REC,13,7937650,dracula,9418.650472093119
HLL,14,7937650,dracula,9458.79744084976
REC,14,7937650,dracula,10713.903163643017
HLL,15,7937650,dracula,9428.09951056076
REC,15,7937650,dracula,16071.696938099067
HLL,16,7937650,dracula,9431.20134607483
REC,16,7937650,dracula,27837.932418028387
HLL,2,4048067,dracula,12409.560097131982
REC,2,4048067,dracula,5047.709793414476
HLL,3,4048067,dracula,7244.025810159134
REC,3,4048067,dracula,9379.831471256804
HLL,4,4048067,dracula,10227.415188405797
REC,4,4048067,dracula,4229.408880187801
HLL,5,4048067,dracula,9777.357484949833
REC,5,4048067,dracula,6170.45269952566
HLL,6,4048067,dracula,10316.605502168257
REC,6,4048067,dracula,7129.636572603579
HLL,7,4048067,dracula,10926.699352527723
REC,7,4048067,dracula,8554.983165461917
HLL,8,4048067,dracula,9540.790296464167
REC,8,4048067,dracula,8651.899445900386
HLL,9,4048067,dracula,9118.983787977693
REC,9,4048067,dracula,9335.999065114855
HLL,10,4048067,dracula,9226.202556244192
REC,10,4048067,dracula,9423.720044064947
HLL,11,4048067,dracula,9350.61804001391
REC,11,4048067,dracula,9548.863927143917
HLL,12,4048067,dracula,9309.228452590927
REC,12,4048067,dracula,9378.467919086046
HLL,13,4048067,dracula,9338.746884293809
REC,13,4048067,dracula,9433.609601163953
HLL,14,4048067,dracula,9458.79744084976
REC,14,4048067,dracula,10713.903163643017
HLL,15,4048067,dracula,9428.09951056076
REC,15,4048067,dracula,16071.696938099067
HLL,16,4048067,dracula,9431.20134607483
REC,16,4048067,dracula,27837.932418028387
HLL,2,5664925,dracula,14528.26547956915
REC,2,5664925,dracula,4037.9678347315803
HLL,3,5664925,dracula,10706.03011300627
REC,3,5664925,dracula,7411.014989635007
HLL,4,5664925,dracula,12587.587924191752
REC,4,5664925,dracula,8755.481002235945
HLL,5,5664925,dracula,10513.571186334008
REC,5,5664925,dracula,10411.973213836556
HLL,6,5664925,dracula,10201.036517339337
REC,6,5664925,dracula,9572.31993050754
HLL,7,5664925,dracula,9084.107210248609
REC,7,5664925,dracula,7494.736829025782
HLL,8,5664925,dracula,9316.25670831079
REC,8,5664925,dracula,7460.422838428072
HLL,9,5664925,dracula,9516.113059315987
REC,9,5664925,dracula,8517.81762843406
HLL,10,5664925,dracula,9103.125142613504
REC,10,5664925,dracula,9332.174183696192
HLL,11,5664925,dracula,9245.558955060174
REC,11,5664925,dracula,9355.058473905947
HLL,12,5664925,dracula,9309.228452590927
REC,12,5664925,dracula,9307.757285672991
HLL,13,5664925,dracula,9338.746884293809
REC,13,5664925,dracula,9429.004263717865
HLL,14,5664925,dracula,9458.79744084976
REC,14,5664925,dracula,10713.903163643017
HLL,15,5664925,dracula,9428.09951056076
REC,15,5664925,dracula,16071.696938099067
HLL,16,5664925,dracula,9431.20134607483
REC,16,5664925,dracula,27837.932418028387
HLL,2,6273507,dracula,13852.532201449654
REC,2,6273507,dracula,2583.9394142282113
HLL,3,6273507,dracula,8856.483382520137
REC,3,6273507,dracula,4112.141749739368
HLL,4,6273507,dracula,8521.559523018868
REC,4,6273507,dracula,9302.76106487569
HLL,5,6273507,dracula,7841.555441408214
REC,5,6273507,dracula,12523.445883673521
HLL,6,6273507,dracula,8978.663881870076
REC,6,6273507,dracula,9280.022114877842
HLL,7,6273507,dracula,8355.536452347973
REC,7,6273507,dracula,9539.832920102688
HLL,8,6273507,dracula,8586.570522521368
REC,8,6273507,dracula,9500.615443284853
HLL,9,6273507,dracula,8612.724665608159
REC,9,6273507,dracula,9898.868807773675
HLL,10,6273507,dracula,8806.799802228155
REC,10,6273507,dracula,9732.240340052202
HLL,11,6273507,dracula,8897.810368432272
REC,11,6273507,dracula,9558.192243000258
HLL,12,6273507,dracula,9309.228452590927
REC,12,6273507,dracula,9631.387483881063
HLL,13,6273507,dracula,9338.746884293809
REC,13,6273507,dracula,9425.551735952402
HLL,14,6273507,dracula,9458.79744084976
REC,14,6273507,dracula,10713.903163643017
HLL,15,6273507,dracula,9428.09951056076
REC,15,6273507,dracula,16071.696938099067
HLL,16,6273507,dracula,9431.20134607483
REC,16,6273507,dracula,27837.932418028387
HLL,2,9889776,dracula,8022.341880974211
REC,2,9889776,dracula,1653.3612251060554
HLL,3,9889776,dracula,4809.745598806606
REC,3,9889776,dracula,9379.831471256804
HLL,4,9889776,dracula,5528.73858146652
REC,4,9889776,dracula,2766.449942062033
HLL,5,9889776,dracula,6530.751957555237
REC,5,9889776,dracula,5983.438981358216
HLL,6,9889776,dracula,7587.865454813663
REC,6,9889776,dracula,11529.8989097449
HLL,7,9889776,dracula,8715.345376343303
REC,7,9889776,dracula,13540.744636376376
HLL,8,9889776,dracula,9004.90693254592
REC,8,9889776,dracula,10514.24891890722
HLL,9,9889776,dracula,8845.676096430441
REC,9,9889776,dracula,9137.730491582246
HLL,10,9889776,dracula,8842.107252827182
REC,10,9889776,dracula,9741.745457571784
HLL,11,9889776,dracula,9100.561113880387
REC,11,9889776,dracula,9232.551223307792
HLL,12,9889776,dracula,9309.228452590927
REC,12,9889776,dracula,9305.485194561037
HLL,13,9889776,dracula,9338.746884293809
REC,13,9889776,dracula,9426.702438068607
HLL,14,9889776,dracula,9458.79744084976
REC,14,9889776,dracula,10713.903163643017
HLL,15,9889776,dracula,9428.09951056076
REC,15,9889776,dracula,16071.696938099067
HLL,16,9889776,dracula,9431.20134607483
REC,16,9889776,dracula,27837.932418028387
HLL,2,6068579,dracula,9163.982840959003
REC,2,6068579,dracula,12324.95164407831
HLL,3,6068579,dracula,14409.737827776007
