Predictor,b,Seed,Dataset,Result
KMV,9,60340,crusoe,6167.235241192201
MinCount,9,60340,crusoe,5747.469316252445
REC,9,60340,crusoe,6018.23618583204
AdaptiveSampling,2,60340,dracula,4096.0
PCSA,2,60340,dracula,6297.0
LogLog,2,60340,dracula,3614.7792742251377
HLL,2,60340,dracula,5815.73676453656
KMV,2,60340,dracula,4103.550350643643
MinCount,2,60340,dracula,4910.705987676835
REC,2,60340,dracula,2066.951531382569
AdaptiveSampling,3,60340,dracula,6144.0
PCSA,3,60340,dracula,7488.0
LogLog,3,60340,dracula,4483.614840644588
HLL,3,60340,dracula,5857.1274972224
KMV,3,60340,dracula,5409.362410429524
MinCount,3,60340,dracula,7754.998245213545
REC,3,60340,dracula,4112.141749739368
AdaptiveSampling,4,60340,dracula,6144.0
PCSA,4,60340,dracula,8905.0
LogLog,4,60340,dracula,5180.695302407839
HLL,4,60340,dracula,6301.773462313047
KMV,4,60340,dracula,6507.723409800297
MinCount,4,60340,dracula,9683.443228662669
REC,4,60340,dracula,5073.218463955728
AdaptiveSampling,5,60340,dracula,7936.0
PCSA,5,60340,dracula,10363.0
LogLog,5,60340,dracula,6758.298144838453
HLL,5,60340,dracula,8650.722637402881
KMV,5,60340,dracula,7861.918875267902
MinCount,5,60340,dracula,8494.033663921296
REC,5,60340,dracula,4535.780725206839
AdaptiveSampling,6,60340,dracula,7936.0
PCSA,6,60340,dracula,10363.0
LogLog,6,60340,dracula,8324.33769059785
HLL,6,60340,dracula,10455.662041147747
KMV,6,60340,dracula,9371.864990500257
MinCount,6,60340,dracula,8242.333914587527
REC,6,60340,dracula,5828.003656416331
AdaptiveSampling,7,60340,dracula,9088.0
PCSA,7,60340,dracula,9401.0
LogLog,7,60340,dracula,9089.02702739999
HLL,7,60340,dracula,10796.454568203884
KMV,7,60340,dracula,9479.705250411398
MinCount,7,60340,dracula,8585.44325594458
REC,7,60340,dracula,8963.960188696386
AdaptiveSampling,8,60340,dracula,9536.0
PCSA,8,60340,dracula,9249.0
LogLog,8,60340,dracula,8638.46718034058
HLL,8,60340,dracula,8912.787205616141
